Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin,Origin Model,,
Oldsmobile Cutlass LS,26.6,8,350,105,3725,19,81,US,US 81,,
Ford Grenada gl,20.2,6,200,88,3060,17.1,81,US,US 81,,
Chrysler Lebaron Salon,17.6,6,225,85,3465,16.6,81,US,US 81,,
Chevrolet Cavalier,28,4,112,88,2605,19.6,82,US,US 82,,
Chevrolet Cavalier Wagon,27,4,112,88,2640,18.6,82,US,US 82,,
Chevrolet Cavalier 2-door,34,4,112,88,2395,18,82,US,US 82,,
Pontiac J2000 SE Hatchback,31,4,112,85,2575,16.2,82,US,US 82,,
Dodge Aries SE,29,4,135,84,2525,16,82,US,US 82,,
Pontiac Phoenix,27,4,151,90,2735,18,82,US,US 82,,
Ford Fairmont Futura,24,4,140,92,2865,16.4,82,US,US 82,,
AMC Concord DL,23,4,151,0,3035,20.5,82,US,US 82,,
Volkswagen Rabbit l,36,4,105,74,1980,15.3,82,Europe,Europe 82,,
Mazda GLC Custom l,37,4,91,68,2025,18.2,82,Japan,Japan 82,,
Mazda GLC Custom,31,4,91,68,1970,17.6,82,Japan,Japan 82,,
Plymouth Horizon Miser,38,4,105,63,2125,14.7,82,US,US 82,,
Mercury Lynx l,36,4,98,70,2125,17.3,82,US,US 82,,
Nissan Stanza XE,36,4,120,88,2160,14.5,82,Japan,Japan 82,,
Honda Accord,36,4,107,75,2205,14.5,82,Japan,Japan 82,,
Toyota Corolla,34,4,108,70,2245,16.9,82,Japan,Japan 82,,
Honda Civic,38,4,91,67,1965,15,82,Japan,Japan 82,,
Honda Civic (auto),32,4,91,67,1965,15.7,82,Japan,Japan 82,,
Datsun 310 GX,38,4,91,67,1995,16.2,82,Japan,Japan 82,,
Buick Century Limited,25,6,181,110,2945,16.4,82,US,US 82,,
Oldsmobile Cutlass Ciera (diesel),38,6,262,85,3015,17,82,US,US 82,,
Chrysler Lebaron Medallion,26,4,156,92,2585,14.5,82,US,US 82,,
Ford Grenada l,22,6,232,112,2835,14.7,82,US,US 82,,
Toyota Celica GT,32,4,144,96,2665,13.9,82,Japan,Japan 82,,
Dodge Charger 2.2,36,4,135,84,2370,13,82,US,US 82,,
Chevrolet Camaro,27,4,151,90,2950,17.3,82,US,US 82,,
Ford Mustang GL,27,4,140,86,2790,15.6,82,US,US 82,,
Volkswagen Pickup,44,4,97,52,2130,24.6,82,Europe,Europe 82,,
Dodge Rampage,32,4,135,84,2295,11.6,82,US,US 82,,
Ford Ranger,28,4,120,79,2625,18.6,82,US,US 82,,
Chevy S-10,31,4,119,82,2720,19.4,82,US,US 82,,
